Class	ComplexID	E1	E1E2	E2	complexName
1	11	Q96EV8	Q96EV8Q9UL45	Q9UL45	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	11	Q9NUP1	Q9NUP1Q9UL45	Q9UL45	BLOC-1 (biogenesis of lysosome-related organelles complex 1)
1	15	O15143	O15143O15144	O15144	Arp2/3 protein complex
1	15	O15143	O15143O15145	O15145	Arp2/3 protein complex
1	15	O15143	O15143O15511	O15511	Arp2/3 protein complex
1	15	O15143	O15143P59998	P59998	Arp2/3 protein complex
1	15	O15143	O15143P61158	P61158	Arp2/3 protein complex
1	15	O15143	O15143P61160	P61160	Arp2/3 protein complex
1	15	O15144	O15144O15145	O15145	Arp2/3 protein complex
1	15	O15144	O15144O15511	O15511	Arp2/3 protein complex
1	15	O15144	O15144P59998	P59998	Arp2/3 protein complex
1	15	O15144	O15144P61158	P61158	Arp2/3 protein complex
1	15	O15144	O15144P61160	P61160	Arp2/3 protein complex
1	15	O15145	O15145O15511	O15511	Arp2/3 protein complex
1	15	O15145	O15145P59998	P59998	Arp2/3 protein complex
1	15	O15145	O15145P61158	P61158	Arp2/3 protein complex
1	15	O15145	O15145P61160	P61160	Arp2/3 protein complex
1	15	O15511	O15511P59998	P59998	Arp2/3 protein complex
1	15	O15511	O15511P61158	P61158	Arp2/3 protein complex
1	15	O15511	O15511P61160	P61160	Arp2/3 protein complex
1	15	P59998	P59998P61158	P61158	Arp2/3 protein complex
1	15	P59998	P59998P61160	P61160	Arp2/3 protein complex
1	15	P61158	P61158P61160	P61160	Arp2/3 protein complex
1	18	Q06323	Q06323Q9UL46	Q9UL46	PA28 complex
1	20	O00231	O00231O00232	O00232	PA700 complex
1	20	O00231	O00231O00233	O00233	PA700 complex
1	20	O00231	O00231O00487	O00487	PA700 complex
1	20	O00231	O00231O43242	O43242	PA700 complex
1	20	O00231	O00231O75832	O75832	PA700 complex
1	20	O00231	O00231P17980	P17980	PA700 complex
1	20	O00231	O00231P35998	P35998	PA700 complex
1	20	O00231	O00231P43686	P43686	PA700 complex
1	20	O00231	O00231P48556	P48556	PA700 complex
1	20	O00231	O00231P51665	P51665	PA700 complex
1	20	O00231	O00231P55036	P55036	PA700 complex
1	20	O00231	O00231P62191	P62191	PA700 complex
1	20	O00231	O00231P62195	P62195	PA700 complex
1	20	O00231	O00231P62333	P62333	PA700 complex
1	20	O00231	O00231Q13200	Q13200	PA700 complex
1	20	O00231	O00231Q15008	Q15008	PA700 complex
1	20	O00231	O00231Q16401	Q16401	PA700 complex
1	20	O00231	O00231Q99460	Q99460	PA700 complex
1	20	O00231	O00231Q9UNM6	Q9UNM6	PA700 complex
1	20	O00232	O00232O00233	O00233	PA700 complex
1	20	O00232	O00232O00487	O00487	PA700 complex
1	20	O00232	O00232O43242	O43242	PA700 complex
1	20	O00232	O00232O75832	O75832	PA700 complex
1	20	O00232	O00232P17980	P17980	PA700 complex
1	20	O00232	O00232P35998	P35998	PA700 complex
1	20	O00232	O00232P43686	P43686	PA700 complex
1	20	O00232	O00232P48556	P48556	PA700 complex
1	20	O00232	O00232P51665	P51665	PA700 complex
1	20	O00232	O00232P55036	P55036	PA700 complex
1	20	O00232	O00232P62191	P62191	PA700 complex
1	20	O00232	O00232P62195	P62195	PA700 complex
1	20	O00232	O00232P62333	P62333	PA700 complex
1	20	O00232	O00232Q13200	Q13200	PA700 complex
1	20	O00232	O00232Q15008	Q15008	PA700 complex
1	20	O00232	O00232Q16401	Q16401	PA700 complex
1	20	O00232	O00232Q99460	Q99460	PA700 complex
1	20	O00232	O00232Q9UNM6	Q9UNM6	PA700 complex
1	20	O00233	O00233O00487	O00487	PA700 complex
1	20	O00233	O00233O43242	O43242	PA700 complex
1	20	O00233	O00233O75832	O75832	PA700 complex
1	20	O00233	O00233P17980	P17980	PA700 complex
1	20	O00233	O00233P35998	P35998	PA700 complex
1	20	O00233	O00233P43686	P43686	PA700 complex
1	20	O00233	O00233P48556	P48556	PA700 complex
1	20	O00233	O00233P51665	P51665	PA700 complex
1	20	O00233	O00233P55036	P55036	PA700 complex
1	20	O00233	O00233P62191	P62191	PA700 complex
1	20	O00233	O00233P62195	P62195	PA700 complex
1	20	O00233	O00233P62333	P62333	PA700 complex
1	20	O00233	O00233Q13200	Q13200	PA700 complex
1	20	O00233	O00233Q15008	Q15008	PA700 complex
1	20	O00233	O00233Q16401	Q16401	PA700 complex
1	20	O00233	O00233Q99460	Q99460	PA700 complex
1	20	O00233	O00233Q9UNM6	Q9UNM6	PA700 complex
1	20	O00487	O00487O43242	O43242	PA700 complex
1	20	O00487	O00487O75832	O75832	PA700 complex
1	20	O00487	O00487P17980	P17980	PA700 complex
1	20	O00487	O00487P35998	P35998	PA700 complex
1	20	O00487	O00487P43686	P43686	PA700 complex
1	20	O00487	O00487P48556	P48556	PA700 complex
1	20	O00487	O00487P51665	P51665	PA700 complex
1	20	O00487	O00487P55036	P55036	PA700 complex
1	20	O00487	O00487P62191	P62191	PA700 complex
1	20	O00487	O00487P62195	P62195	PA700 complex
1	20	O00487	O00487P62333	P62333	PA700 complex
1	20	O00487	O00487Q13200	Q13200	PA700 complex
1	20	O00487	O00487Q15008	Q15008	PA700 complex
1	20	O00487	O00487Q16401	Q16401	PA700 complex
1	20	O00487	O00487Q99460	Q99460	PA700 complex
1	20	O00487	O00487Q9UNM6	Q9UNM6	PA700 complex
1	20	O43242	O43242O75832	O75832	PA700 complex
1	20	O43242	O43242P17980	P17980	PA700 complex
1	20	O43242	O43242P35998	P35998	PA700 complex
1	20	O43242	O43242P43686	P43686	PA700 complex
1	20	O43242	O43242P48556	P48556	PA700 complex
1	20	O43242	O43242P51665	P51665	PA700 complex
1	20	O43242	O43242P55036	P55036	PA700 complex
1	20	O43242	O43242P62191	P62191	PA700 complex
1	20	O43242	O43242P62195	P62195	PA700 complex
1	20	O43242	O43242P62333	P62333	PA700 complex
1	20	O43242	O43242Q13200	Q13200	PA700 complex
1	20	O43242	O43242Q15008	Q15008	PA700 complex
1	20	O43242	O43242Q16401	Q16401	PA700 complex
1	20	O43242	O43242Q99460	Q99460	PA700 complex
1	20	O43242	O43242Q9UNM6	Q9UNM6	PA700 complex
1	20	O75832	O75832P17980	P17980	PA700 complex
1	20	O75832	O75832P35998	P35998	PA700 complex
1	20	O75832	O75832P43686	P43686	PA700 complex
1	20	O75832	O75832P48556	P48556	PA700 complex
1	20	O75832	O75832P51665	P51665	PA700 complex
1	20	O75832	O75832P55036	P55036	PA700 complex
1	20	O75832	O75832P62191	P62191	PA700 complex
1	20	O75832	O75832P62195	P62195	PA700 complex
1	20	O75832	O75832P62333	P62333	PA700 complex
1	20	O75832	O75832Q13200	Q13200	PA700 complex
1	20	O75832	O75832Q15008	Q15008	PA700 complex
1	20	O75832	O75832Q16401	Q16401	PA700 complex
1	20	O75832	O75832Q99460	Q99460	PA700 complex
1	20	O75832	O75832Q9UNM6	Q9UNM6	PA700 complex
1	20	P17980	P17980P35998	P35998	PA700 complex
1	20	P17980	P17980P43686	P43686	PA700 complex
1	20	P17980	P17980P48556	P48556	PA700 complex
1	20	P17980	P17980P51665	P51665	PA700 complex
1	20	P17980	P17980P55036	P55036	PA700 complex
1	20	P17980	P17980P62191	P62191	PA700 complex
1	20	P17980	P17980P62195	P62195	PA700 complex
1	20	P17980	P17980P62333	P62333	PA700 complex
1	20	P17980	P17980Q13200	Q13200	PA700 complex
1	20	P17980	P17980Q15008	Q15008	PA700 complex
1	20	P17980	P17980Q16401	Q16401	PA700 complex
1	20	P17980	P17980Q99460	Q99460	PA700 complex
1	20	P17980	P17980Q9UNM6	Q9UNM6	PA700 complex
1	20	P35998	P35998P43686	P43686	PA700 complex
1	20	P35998	P35998P48556	P48556	PA700 complex
1	20	P35998	P35998P51665	P51665	PA700 complex
1	20	P35998	P35998P55036	P55036	PA700 complex
1	20	P35998	P35998P62191	P62191	PA700 complex
1	20	P35998	P35998P62195	P62195	PA700 complex
1	20	P35998	P35998P62333	P62333	PA700 complex
1	20	P35998	P35998Q13200	Q13200	PA700 complex
1	20	P35998	P35998Q15008	Q15008	PA700 complex
1	20	P35998	P35998Q16401	Q16401	PA700 complex
1	20	P35998	P35998Q99460	Q99460	PA700 complex
1	20	P35998	P35998Q9UNM6	Q9UNM6	PA700 complex
1	20	P43686	P43686P48556	P48556	PA700 complex
1	20	P43686	P43686P51665	P51665	PA700 complex
1	20	P43686	P43686P55036	P55036	PA700 complex
1	20	P43686	P43686P62191	P62191	PA700 complex
1	20	P43686	P43686P62195	P62195	PA700 complex
1	20	P43686	P43686P62333	P62333	PA700 complex
1	20	P43686	P43686Q13200	Q13200	PA700 complex
1	20	P43686	P43686Q15008	Q15008	PA700 complex
1	20	P43686	P43686Q16401	Q16401	PA700 complex
1	20	P43686	P43686Q99460	Q99460	PA700 complex
1	20	P43686	P43686Q9UNM6	Q9UNM6	PA700 complex
1	20	P48556	P48556P51665	P51665	PA700 complex
1	20	P48556	P48556P55036	P55036	PA700 complex
1	20	P48556	P48556P62191	P62191	PA700 complex
1	20	P48556	P48556P62195	P62195	PA700 complex
1	20	P48556	P48556P62333	P62333	PA700 complex
1	20	P48556	P48556Q13200	Q13200	PA700 complex
1	20	P48556	P48556Q15008	Q15008	PA700 complex
1	20	P48556	P48556Q16401	Q16401	PA700 complex
1	20	P48556	P48556Q99460	Q99460	PA700 complex
1	20	P48556	P48556Q9UNM6	Q9UNM6	PA700 complex
1	20	P51665	P51665P55036	P55036	PA700 complex
1	20	P51665	P51665P62191	P62191	PA700 complex
1	20	P51665	P51665P62195	P62195	PA700 complex
1	20	P51665	P51665P62333	P62333	PA700 complex
1	20	P51665	P51665Q13200	Q13200	PA700 complex
1	20	P51665	P51665Q15008	Q15008	PA700 complex
1	20	P51665	P51665Q16401	Q16401	PA700 complex
1	20	P51665	P51665Q99460	Q99460	PA700 complex
1	20	P51665	P51665Q9UNM6	Q9UNM6	PA700 complex
1	20	P55036	P55036P62191	P62191	PA700 complex
1	20	P55036	P55036P62195	P62195	PA700 complex
1	20	P55036	P55036P62333	P62333	PA700 complex
1	20	P55036	P55036Q13200	Q13200	PA700 complex
1	20	P55036	P55036Q15008	Q15008	PA700 complex
1	20	P55036	P55036Q16401	Q16401	PA700 complex
1	20	P55036	P55036Q99460	Q99460	PA700 complex
1	20	P55036	P55036Q9UNM6	Q9UNM6	PA700 complex
1	20	P62191	P62191P62195	P62195	PA700 complex
1	20	P62191	P62191P62333	P62333	PA700 complex
1	20	P62191	P62191Q13200	Q13200	PA700 complex
1	20	P62191	P62191Q15008	Q15008	PA700 complex
1	20	P62191	P62191Q16401	Q16401	PA700 complex
1	20	P62191	P62191Q99460	Q99460	PA700 complex
1	20	P62191	P62191Q9UNM6	Q9UNM6	PA700 complex
1	20	P62195	P62195P62333	P62333	PA700 complex
1	20	P62195	P62195Q13200	Q13200	PA700 complex
1	20	P62195	P62195Q15008	Q15008	PA700 complex
1	20	P62195	P62195Q16401	Q16401	PA700 complex
1	20	P62195	P62195Q99460	Q99460	PA700 complex
1	20	P62195	P62195Q9UNM6	Q9UNM6	PA700 complex
1	20	P62333	P62333Q13200	Q13200	PA700 complex
1	20	P62333	P62333Q15008	Q15008	PA700 complex
1	20	P62333	P62333Q16401	Q16401	PA700 complex
1	20	P62333	P62333Q99460	Q99460	PA700 complex
1	20	P62333	P62333Q9UNM6	Q9UNM6	PA700 complex
1	20	Q13200	Q13200Q15008	Q15008	PA700 complex
1	20	Q13200	Q13200Q16401	Q16401	PA700 complex
1	20	Q13200	Q13200Q99460	Q99460	PA700 complex
1	20	Q13200	Q13200Q9UNM6	Q9UNM6	PA700 complex
1	20	Q15008	Q15008Q16401	Q16401	PA700 complex
1	20	Q15008	Q15008Q99460	Q99460	PA700 complex
1	20	Q15008	Q15008Q9UNM6	Q9UNM6	PA700 complex
1	20	Q16401	Q16401Q99460	Q99460	PA700 complex
1	20	Q16401	Q16401Q9UNM6	Q9UNM6	PA700 complex
1	20	Q99460	Q99460Q9UNM6	Q9UNM6	PA700 complex
1	21	O15212	O15212O60925	O60925	Prefoldin complex
1	21	O15212	O15212P61758	P61758	Prefoldin complex
1	21	O15212	O15212Q99471	Q99471	Prefoldin complex
1	21	O15212	O15212Q9NQP4	Q9NQP4	Prefoldin complex
1	21	O15212	O15212Q9UHV9	Q9UHV9	Prefoldin complex
1	21	O60925	O60925P61758	P61758	Prefoldin complex
1	21	O60925	O60925Q99471	Q99471	Prefoldin complex
1	21	O60925	O60925Q9NQP4	Q9NQP4	Prefoldin complex
1	21	O60925	O60925Q9UHV9	Q9UHV9	Prefoldin complex
1	21	P61758	P61758Q99471	Q99471	Prefoldin complex
1	21	P61758	P61758Q9NQP4	Q9NQP4	Prefoldin complex
1	21	P61758	P61758Q9UHV9	Q9UHV9	Prefoldin complex
1	21	Q99471	Q99471Q9NQP4	Q9NQP4	Prefoldin complex
1	21	Q99471	Q99471Q9UHV9	Q9UHV9	Prefoldin complex
1	21	Q9NQP4	Q9NQP4Q9UHV9	Q9UHV9	Prefoldin complex
1	23	O43747	O43747O75843	O75843	AP1 adaptor complex
1	23	O43747	O43747P56377	P56377	AP1 adaptor complex
1	23	O43747	O43747P61966	P61966	AP1 adaptor complex
1	23	O43747	O43747Q10567	Q10567	AP1 adaptor complex
1	23	O43747	O43747Q96PC3	Q96PC3	AP1 adaptor complex
1	23	O43747	O43747Q9BXS5	Q9BXS5	AP1 adaptor complex
1	23	O43747	O43747Q9Y6Q5	Q9Y6Q5	AP1 adaptor complex
1	23	O75843	O75843P56377	P56377	AP1 adaptor complex
1	23	O75843	O75843P61966	P61966	AP1 adaptor complex
1	23	O75843	O75843Q10567	Q10567	AP1 adaptor complex
1	23	O75843	O75843Q96PC3	Q96PC3	AP1 adaptor complex
1	23	O75843	O75843Q9BXS5	Q9BXS5	AP1 adaptor complex
1	23	O75843	O75843Q9Y6Q5	Q9Y6Q5	AP1 adaptor complex
1	23	P56377	P56377P61966	P61966	AP1 adaptor complex
1	23	P56377	P56377Q10567	Q10567	AP1 adaptor complex
1	23	P56377	P56377Q96PC3	Q96PC3	AP1 adaptor complex
1	23	P56377	P56377Q9BXS5	Q9BXS5	AP1 adaptor complex
1	23	P56377	P56377Q9Y6Q5	Q9Y6Q5	AP1 adaptor complex
1	23	P61966	P61966Q10567	Q10567	AP1 adaptor complex
1	23	P61966	P61966Q96PC3	Q96PC3	AP1 adaptor complex
1	23	P61966	P61966Q9BXS5	Q9BXS5	AP1 adaptor complex
1	23	P61966	P61966Q9Y6Q5	Q9Y6Q5	AP1 adaptor complex
1	23	Q10567	Q10567Q96PC3	Q96PC3	AP1 adaptor complex
1	23	Q10567	Q10567Q9BXS5	Q9BXS5	AP1 adaptor complex
1	23	Q10567	Q10567Q9Y6Q5	Q9Y6Q5	AP1 adaptor complex
1	23	Q96PC3	Q96PC3Q9BXS5	Q9BXS5	AP1 adaptor complex
1	23	Q96PC3	Q96PC3Q9Y6Q5	Q9Y6Q5	AP1 adaptor complex
1	23	Q9BXS5	Q9BXS5Q9Y6Q5	Q9Y6Q5	AP1 adaptor complex
1	28	O94776	O94776O95983	O95983	Mi-2/NuRD-MTA3 complex
1	28	O94776	O94776P41182	P41182	Mi-2/NuRD-MTA3 complex
1	28	O94776	O94776Q13547	Q13547	Mi-2/NuRD-MTA3 complex
1	28	O94776	O94776Q9BTC8	Q9BTC8	Mi-2/NuRD-MTA3 complex
1	28	O95983	O95983P41182	P41182	Mi-2/NuRD-MTA3 complex
1	28	O95983	O95983Q13547	Q13547	Mi-2/NuRD-MTA3 complex
1	28	O95983	O95983Q9BTC8	Q9BTC8	Mi-2/NuRD-MTA3 complex
1	28	P41182	P41182Q13547	Q13547	Mi-2/NuRD-MTA3 complex
1	28	P41182	P41182Q9BTC8	Q9BTC8	Mi-2/NuRD-MTA3 complex
1	28	Q13547	Q13547Q9BTC8	Q9BTC8	Mi-2/NuRD-MTA3 complex
1	30	P49768	P49768Q92542	Q92542	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	30	P49768	P49768Q96BI3	Q96BI3	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	30	P49768	P49768Q9NZ42	Q9NZ42	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	30	Q92542	Q92542Q96BI3	Q96BI3	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	30	Q92542	Q92542Q9NZ42	Q9NZ42	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	30	Q96BI3	Q96BI3Q9NZ42	Q9NZ42	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	32	P49768	P49768Q92542	Q92542	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	32	P49768	P49768Q96BI3	Q96BI3	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	32	P49768	P49768Q9NZ42	Q9NZ42	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	32	Q92542	Q92542Q96BI3	Q96BI3	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	32	Q92542	Q92542Q9NZ42	Q9NZ42	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	32	Q96BI3	Q96BI3Q9NZ42	Q9NZ42	Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)
1	36	O60264	O60264O95239	O95239	DNMT3B complex
1	36	O60264	O60264O95347	O95347	DNMT3B complex
1	36	O60264	O60264Q13547	Q13547	DNMT3B complex
1	36	O60264	O60264Q96ST3	Q96ST3	DNMT3B complex
1	36	O60264	O60264Q9NTJ3	Q9NTJ3	DNMT3B complex
1	36	O60264	O60264Q9UBC3	Q9UBC3	DNMT3B complex
1	36	O95239	O95239O95347	O95347	DNMT3B complex
1	36	O95239	O95239Q13547	Q13547	DNMT3B complex
1	36	O95239	O95239Q96ST3	Q96ST3	DNMT3B complex
1	36	O95239	O95239Q9NTJ3	Q9NTJ3	DNMT3B complex
1	36	O95239	O95239Q9UBC3	Q9UBC3	DNMT3B complex
1	36	O95347	O95347Q13547	Q13547	DNMT3B complex
1	36	O95347	O95347Q96ST3	Q96ST3	DNMT3B complex
1	36	O95347	O95347Q9NTJ3	Q9NTJ3	DNMT3B complex
1	36	O95347	O95347Q9UBC3	Q9UBC3	DNMT3B complex
1	36	Q13547	Q13547Q96ST3	Q96ST3	DNMT3B complex
1	36	Q13547	Q13547Q9NTJ3	Q9NTJ3	DNMT3B complex
1	36	Q13547	Q13547Q9UBC3	Q9UBC3	DNMT3B complex
1	36	Q96ST3	Q96ST3Q9NTJ3	Q9NTJ3	DNMT3B complex
1	36	Q96ST3	Q96ST3Q9UBC3	Q9UBC3	DNMT3B complex
1	36	Q9NTJ3	Q9NTJ3Q9UBC3	Q9UBC3	DNMT3B complex
1	37	P20339	P20339Q15276	Q15276	RAB5-RABAPTIN5\u2013RABEX5 complex
1	37	P20339	P20339Q9UJ41	Q9UJ41	RAB5-RABAPTIN5\u2013RABEX5 complex
1	37	Q15276	Q15276Q9UJ41	Q9UJ41	RAB5-RABAPTIN5\u2013RABEX5 complex
1	41	O00422	O00422O75446	O75446	SIN3 complex
1	41	O00422	O00422Q09028	Q09028	SIN3 complex
1	41	O00422	O00422Q13547	Q13547	SIN3 complex
1	41	O00422	O00422Q16576	Q16576	SIN3 complex
1	41	O00422	O00422Q92769	Q92769	SIN3 complex
1	41	O00422	O00422Q96ST3	Q96ST3	SIN3 complex
1	41	O75446	O75446Q09028	Q09028	SIN3 complex
1	41	O75446	O75446Q13547	Q13547	SIN3 complex
1	41	O75446	O75446Q16576	Q16576	SIN3 complex
1	41	O75446	O75446Q92769	Q92769	SIN3 complex
1	41	O75446	O75446Q96ST3	Q96ST3	SIN3 complex
1	41	Q09028	Q09028Q13547	Q13547	SIN3 complex
1	41	Q09028	Q09028Q16576	Q16576	SIN3 complex
1	41	Q09028	Q09028Q92769	Q92769	SIN3 complex
1	41	Q09028	Q09028Q96ST3	Q96ST3	SIN3 complex
1	41	Q13547	Q13547Q16576	Q16576	SIN3 complex
1	41	Q13547	Q13547Q92769	Q92769	SIN3 complex
1	41	Q13547	Q13547Q96ST3	Q96ST3	SIN3 complex
1	41	Q16576	Q16576Q92769	Q92769	SIN3 complex
1	41	Q16576	Q16576Q96ST3	Q96ST3	SIN3 complex
1	41	Q92769	Q92769Q96ST3	Q96ST3	SIN3 complex
1	42	P27361	P27361P56524	P56524	HDAC4-ERK1 complex
1	44	P28482	P28482P56524	P56524	HDAC4-ERK2 complex
1	45	O15379	O15379O60907	O60907	SMRT complex
1	45	O15379	O15379Q13227	Q13227	SMRT complex
1	45	O15379	O15379Q9BZK7	Q9BZK7	SMRT complex
1	45	O15379	O15379Q9Y618	Q9Y618	SMRT complex
1	45	O60907	O60907Q13227	Q13227	SMRT complex
1	45	O60907	O60907Q9BZK7	Q9BZK7	SMRT complex
1	45	O60907	O60907Q9Y618	Q9Y618	SMRT complex
1	45	Q13227	Q13227Q9BZK7	Q9BZK7	SMRT complex
1	45	Q13227	Q13227Q9Y618	Q9Y618	SMRT complex
1	45	Q9BZK7	Q9BZK7Q9Y618	Q9Y618	SMRT complex
1	46	O00203	O00203O14617	O14617	AP3 adaptor complex
1	46	O00203	O00203P53677	P53677	AP3 adaptor complex
1	46	O00203	O00203P59780	P59780	AP3 adaptor complex
1	46	O00203	O00203Q13367	Q13367	AP3 adaptor complex
1	46	O00203	O00203Q92572	Q92572	AP3 adaptor complex
1	46	O00203	O00203Q9Y2T2	Q9Y2T2	AP3 adaptor complex
1	46	O14617	O14617P53677	P53677	AP3 adaptor complex
